ROI_INDEX	TISSUE_SEG	ROI_NAME	MINA_C32_mapped	MINA_C32_mapped_OI	MINA_C64_mapped	MINA_C64_mapped_OI	MINA_C128_mapped	MINA_C128_mapped_OI	MINA_C256_mapped	MINA_C256_mapped_OI	MINA_C512_mapped	MINA_C512_mapped_OI	MINA_C1024_mapped	MINA_C1024_mapped_OI
23	GM	Right Accumbens Area	C1	0.9152542372881356	C1	0.9491525423728814	C1	0.8813559322033898	C87	0.9661016949152542	C362	0.7966101694915254	C940	0.3559322033898305
30	GM	Left Accumbens Area	C1	0.9298245614035088	C1	1.0	C1	0.9473684210526315	C87	1.0	C362	0.7017543859649122	C461	0.2807017543859649
31	GM	Right Amygdala	C3	0.8244274809160306	C3	0.5419847328244275	C3	0.8396946564885496	C118	0.8549618320610687	C260	0.37404580152671757	C828	0.11450381679389313
32	GM	Left Amygdala	C3	0.8560606060606061	C3	0.5681818181818182	C3	0.9848484848484849	C118	0.9848484848484849	C511	0.4318181818181818	C698	0.11363636363636363
36	GM	Right Caudate	C1	0.5710900473933649	C18	0.566350710900474	C1	0.8388625592417062	C233	0.6943127962085308	C233	0.25355450236966826	C486	0.17298578199052134
37	GM	Left Caudate	C1	0.7665094339622641	C1	0.5683962264150944	C1	0.9599056603773585	C233	0.6108490566037735	C274	0.25471698113207547	C378	0.16037735849056603
38	GM	Right Cerebellum Exterior	C15	0.17037754114230397	C7	0.1373023555985802	C7	0.1340755082284608	C6	0.10180703452726686	C341	0.04985479186834463	C477	0.036624717650855114
39	GM	Left Cerebellum Exterior	C15	0.17355637767411936	C7	0.13865208299823065	C7	0.1293228245134309	C7	0.09313173556377674	C477	0.06047933086697764	C988	0.04519864886601255
47	GM	Right Hippocampus	C1	0.4104627766599598	C18	0.5291750503018109	C3	0.5674044265593562	C118	0.5674044265593562	C343	0.18108651911468812	C706	0.0925553319919517
48	GM	Left Hippocampus	C6	0.3442982456140351	C18	0.48903508771929827	C3	0.5723684210526315	C118	0.5767543859649122	C277	0.21710526315789475	C637	0.09429824561403509
55	GM	Right Pallidum	C1	1.0	C1	1.0	C1	1.0	C142	0.6282051282051282	C361	0.38461538461538464	C766	0.1346153846153846
56	GM	Left Pallidum	C1	1.0	C1	1.0	C1	1.0	C142	0.6588235294117647	C361	0.31176470588235294	C942	0.13529411764705881
57	GM	Right Putamen	C1	1.0	C1	0.9859719438877755	C1	0.9899799599198397	C140	0.36072144288577157	C412	0.18036072144288579	C140	0.09218436873747494
58	GM	Left Putamen	C1	1.0	C1	0.9961089494163424	C1	0.9980544747081712	C140	0.3735408560311284	C500	0.18482490272373542	C875	0.10505836575875487
59	GM	Right Thalamus Proper	C1	0.8170594837261503	C42	0.6980920314253648	C114	0.8641975308641975	C110	0.29854096520763185	C249	0.0931537598204265	C249	0.05499438832772166
60	GM	Left Thalamus Proper	C1	0.8372844827586207	C42	0.625	C114	0.84375	C110	0.2640086206896552	C110	0.09482758620689655	C733	0.059267241379310345
71	GM	Cerebellar Vermal Lobules I-V	C6	0.9696969696969697	C6	0.9840510366826156	C6	0.9537480063795853	C222	0.6395534290271132	C469	0.23125996810207336	C469	0.21052631578947367
72	GM	Cerebellar Vermal Lobules VI-VII	C8	0.5714285714285714	C8	0.46638655462184875	C6	0.4495798319327731	C8	0.3403361344537815	C350	0.3487394957983193	C389	0.24369747899159663
73	GM	Cerebellar Vermal Lobules VIII-X	C14	0.5361111111111111	C14	0.5027777777777778	C14	0.45	C8	0.9833333333333333	C402	0.36944444444444446	C381	0.2
75	GM	Left Basal Forebrain	C10	0.8804347826086957	C10	0.782608695652174	C2	0.5543478260869565	C2	0.42391304347826086	C436	0.5760869565217391	C950	0.18478260869565216
76	GM	Right Basal Forebrain	C10	0.8764044943820225	C10	0.8314606741573034	C10	0.5617977528089888	C10	0.6067415730337079	C461	0.3146067415730337	C761	0.2247191011235955
100	GM	Right ACgG  anterior cingulate gyrus	C20	0.9958762886597938	C20	0.6556701030927835	C61	0.5298969072164949	C20	0.4268041237113402	C61	0.32783505154639175	C61	0.2948453608247423
101	GM	Left ACgG  anterior cingulate gyrus	C20	0.967128027681661	C20	0.6418685121107266	C20	0.46539792387543255	C20	0.2837370242214533	C254	0.2370242214532872	C153	0.23356401384083045
102	GM	Right AIns  anterior insula	C10	0.6163021868787276	C61	0.3240556660039761	C2	0.5944333996023857	C188	0.28628230616302186	C397	0.17892644135188868	C220	0.1073558648111332
103	GM	Left AIns  anterior insula	C10	0.5964214711729622	C61	0.40357852882703776	C2	0.614314115308151	C243	0.20675944333996024	C294	0.23061630218687873	C294	0.09741550695825049
104	GM	Right AOrG  anterior orbital gyrus	C22	0.7815126050420168	C10	0.5126050420168067	C97	0.6554621848739496	C133	0.6134453781512605	C458	0.2605042016806723	C647	0.25210084033613445
105	GM	Left AOrG  anterior orbital gyrus	C22	0.7757847533632287	C11	0.5336322869955157	C97	0.6502242152466368	C133	0.5291479820627802	C270	0.3542600896860987	C344	0.3004484304932735
106	GM	Right AnG   angular gyrus	C7	0.6266891891891891	C51	0.5920608108108109	C51	0.2829391891891892	C51	0.22212837837837837	C51	0.21452702702702703	C51	0.18327702702702703
107	GM	Left AnG   angular gyrus	C7	0.8464606181455633	C59	0.4037886340977069	C65	0.44466600199401796	C206	0.24227318045862412	C65	0.22731804586241275	C65	0.2033898305084746
108	GM	Right Calc  calcarine cortex	C13	0.6133651551312649	C13	0.5059665871121718	C13	0.3937947494033413	C13	0.28162291169451076	C489	0.21479713603818615	C996	0.324582338902148
109	GM	Left Calc  calcarine cortex	C13	0.572429906542056	C13	0.3925233644859813	C13	0.37616822429906543	C43	0.2102803738317757	C489	0.26869158878504673	C43	0.3644859813084112
112	GM	Right CO    central operculum	C2	0.38992537313432835	C2	0.6548507462686567	C106	0.39365671641791045	C220	0.26492537313432835	C159	0.1623134328358209	C321	0.09514925373134328
113	GM	Left CO    central operculum	C2	0.5278396436525612	C2	0.6971046770601337	C106	0.39198218262806234	C165	0.3273942093541203	C262	0.1915367483296214	C295	0.12472160356347439
