IDP	trait	Pvalue	ES
C32_1	AD	4.3730255812484935e-61	0.1614100760742033
C32_2	AD	4.663739286275337e-53	0.1380993071058482
C32_3	AD	6.486231173909149e-128	0.3753305483539111
C32_4	AD	0.0001767057976735	0.0077685008776989
C32_5	AD	1.548294548811225e-08	0.017757415317661
C32_6	AD	3.698669700453623e-06	0.0118494732063786
C32_7	AD	2.571056954894404e-49	0.1274094383818209
C32_10	AD	3.175915012626996e-65	0.1736241020019644
C32_11	AD	2.942854476899274e-27	0.0664612983170686
C32_13	AD	2.5273167427004474e-06	0.0122567537453243
C32_16	AD	8.276976293491621e-24	0.0572689773477796
C32_17	AD	6.2246533840078926e-71	0.1906565985905332
C32_18	AD	4.51172034242439e-25	0.0606249657935272
C32_19	AD	8.336126276603239e-72	0.1932889191212681
C32_20	AD	7.39054260114258e-16	0.0364287401708583
C32_21	AD	6.040713960386813e-31	0.076404147754763
C32_22	AD	3.8518670215092e-26	0.0634718128865696
C32_23	AD	4.2522546196340336e-76	0.2063202291781395
C32_24	AD	3.3199213603620965e-73	0.1975319086746637
C32_25	AD	1.1318050124250517e-19	0.0463554125873543
C32_26	AD	1.566268680238554e-46	0.1195191665280547
C32_27	AD	7.430873455582456e-44	0.1119827235526976
C32_28	AD	1.6029017290540705e-07	0.0152242065161004
C32_29	AD	1.1050636786829823e-26	0.0649315727182422
C32_30	AD	4.782396700900559e-67	0.1790307688135909
C32_31	AD	2.9389377546145764e-43	0.1103029351571789
C32_32	AD	7.889305483655141e-41	0.1035288452881022
C64_1	AD	1.0729593339489884e-32	0.0811571772757884
C64_2	AD	1.4375299422133782e-37	0.0945005654844515
C64_3	AD	2.3633386011127412e-120	0.3492511287460966
C64_4	AD	0.0004259504512473	0.0068547485428345
C64_5	AD	2.36095977186057e-06	0.0123323927122337
C64_10	AD	8.180182072504205e-48	0.1231328415169556
C64_11	AD	3.2111320933275236e-20	0.0477901678382219
C64_16	AD	1.1274336418157357e-12	0.028236017965069
C64_17	AD	0.0004854786657972	0.0067183919076309
