IDP	GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
C32_1	SLC30A6	2	32390910	32449181	125	13	33417	5.3307	4.8915e-08
C32_1	RUNX2	6	45296054	45518819	536	46	33414	5.3494	4.4112e-08
C32_1	DSCAML1	11	117298489	117667976	1291	101	33323	5.8471	2.5006e-09
C32_1	AKAP10	17	19807765	19881169	111	10	33388	6.3149	1.3513e-10
C32_1	BCL2L1	20	30252261	30311752	89	8	33309	6.0022	9.7361e-10
C32_1	TPX2	20	30326904	30389605	104	10	33466	5.9086	1.7255e-09
C32_1	MYLK2	20	30407115	30422500	42	7	33467	5.4754	2.1831e-08
C32_10	ZIC4	3	147103835	147124596	33	9	33403	6.166	3.5013e-10
C32_10	ZIC1	3	147127181	147134506	10	6	33365	5.8322	2.7351e-09
C32_10	TNPO1	5	72112418	72210215	167	17	33320	5.4281	2.8485e-08
C32_10	FCHO2	5	72251808	72386349	221	15	33414	5.7528	4.3889e-09
C32_10	NPM1	5	170814652	170837888	66	7	33462	5.3753	3.8223e-08
C32_10	C7orf76	7	96110938	96132835	44	10	33354	6.8712	3.183e-12
C32_10	SHFM1	7	96318079	96339203	52	10	33438	7.2162	2.6734e-13
C32_10	ENPP2	8	120569317	120685644	267	29	33342	5.6565	7.7249e-09
C32_10	CYP17A1	10	104590288	104597290	19	4	33498	5.6137	9.902e-09
C32_10	C10orf32	10	104613967	104624718	25	7	33402	6.3575	1.0251e-10
C32_10	AS3MT	10	104629183	104661656	111	13	33450	6.5953	2.1225e-11
C32_10	CNNM2	10	104678075	104838344	385	20	33467	6.2148	2.5697e-10
C32_10	NT5C2	10	104847774	104953063	242	19	33489	6.3509	1.0701e-10
C32_11	NPM1	5	170814652	170837888	66	7	33462	5.4926	1.9808e-08
C32_11	BTN3A2	6	26365387	26378548	98	8	33494	5.94	1.4249e-09
C32_11	CPED1	7	120628751	120937498	766	33	33396	5.8731	2.1384e-09
C32_11	FANK1	10	127585108	127698161	309	16	33295	5.7801	3.7324e-09
C32_12	C1orf185	1	51442129	51613754	318	23	33434	6.9821	1.4541e-12
C32_12	RNF11	1	51701945	51739119	42	7	33398	7.6094	1.3767e-14
C32_12	TTC39A	1	51752930	51810785	109	22	33392	7.7422	4.885e-15
C32_12	C1orf123	1	53679771	53686289	10	2	33486	5.9893	1.0536e-09
